date,return_GRG.L,return_NXT.L,return_JD.L,return_DOM.L,return_JDW.L,return_BME.L,return_MKS.L,trends_GRG.L,trends_NXT.L,trends_JD.L,trends_DOM.L,trends_JDW.L,trends_BME.L,trends_MKS.L,Total_Container_Imports
2022-08-31,-0.0955881612742715,-0.1460475369405937,-0.1281357918080145,-0.1735755545977692,-0.13387237662010065,-0.12821106904844826,-0.13821141150344118,94,79,52,72,85,80,52,36025.25
2022-09-30,-0.07201515995650298,-0.173950408028976,-0.11288177290637424,-0.05677971501517687,-0.16058084297759678,-0.17247909648424453,-0.19048408493253244,89,81,46,78,92,81,54,36025.25
2022-10-31,0.17873835629054802,0.02666096306083654,-0.027544829357548983,0.016172423652953016,0.11468115002300339,0.05390380217461388,0.06911230919422962,84,74,47,74,77,84,57,33923.434
2022-11-30,0.1476708007098977,0.18482438462538675,0.2936166839691712,0.2652520445843496,-0.016851499750510368,0.2689184814742007,0.14265406553138194,89,83,68,74,70,91,69,33923.434
2022-12-31,0.012953536594569437,-0.005709520465909446,0.0008034864652188833,0.025157211211667585,0.0018043514305088326,0.0048863472300220145,0.022812101415451425,94,91,86,89,74,98,94,33923.434
2023-01-31,0.1483375026324052,0.13985537396384484,0.290130907312415,0.0702112918218083,0.022512292406801748,0.08898190357845892,0.18248165875457478,79,56,39,66,72,67,50,32738.304
2023-02-28,0.006681582785503126,0.03384708199235975,0.11274963764357548,-0.08789801787402918,0.23844116106976077,0.09850333794453348,0.09739377500096835,82,62,38,68,70,63,44,32738.304
2023-03-31,0.022861248578726734,-0.039462148098381666,-0.018498086866928998,0.0006982522563536708,0.2711111419882881,-0.019723459814919964,0.04374989506268001,79,68,38,64,70,61,50,32738.304
2023-04-30,0.016019409304936172,0.025562900361661978,-0.09395216302223452,0.026764402828086675,-0.0027972688476396446,-0.00497807901655134,-0.01586821525604387,78,73,44,68,74,81,49,35192.512
2023-05-31,-0.04684167195173905,-0.058456771970107124,-0.0561937441041106,-0.05098590016217197,0.02875177027153053,0.06274741363478697,0.08670520445948204,77,76,44,57,67,80,51,35192.512
2023-06-30,-0.04914382431962072,0.0872988546916511,-0.03947370403082173,-0.011461111708792604,-0.08316284584901268,0.0927628634138673,0.07894739540922546,79,69,47,54,71,79,48,35192.512
2023-07-31,0.08144091137903109,0.021655099324236815,0.08018666320955337,0.25869552148550823,0.005204379418227045,-0.006822213815191658,0.07057602030543375,83,61,45,55,70,66,48,33791.411
2023-08-31,-0.10716858990458056,-0.008513011515874358,-0.07894720286153678,0.13710624810011152,0.06952660156402435,0.04410697864034008,0.09936995248378078,80,58,45,51,79,72,49,33791.411
2023-09-30,-0.007234379463318397,0.04407544689064813,0.030636840100356055,-0.0470886096315547,-0.0435683778224375,0.015235443716267616,0.043209810489639455,80,63,41,57,70,70,50,33791.411
2023-10-31,-0.03186279183606311,-0.056469256601200946,-0.14829665438342166,-0.08873533517773136,-0.0860448959069735,-0.09822639129584876,-0.08368554898676983,85,64,40,57,61,71,51,31407.608
2023-11-30,0.03628700389695716,0.1519465966018021,0.2317648113013122,0.07813394410779462,0.08544312816928157,0.08482058116805269,0.16010083839321787,96,84,59,56,63,88,66,31407.608
2023-12-31,0.05944622959857426,0.0237905540346377,0.0566885225762761,0.018929290400513388,0.18148682207802613,-0.023361152607217273,0.08310154593978392,98,73,67,63,77,92,85,31407.608
2024-01-31,0.026902395489287745,0.0431140163397743,-0.29466705320806064,-0.06740971885141656,0.03639729840699424,-0.07391809417750261,-0.0921440326059122,82,52,33,49,64,60,44,32243.315
